GenNb-2   ||  MinChi2: 15737419.179806877   ||  MeanChi2: 25169726837.45897   ||  StdChi2: 19077669476.652237   ||  
GenNb-3   ||  MinChi2: 1992317.0294161646   ||  MeanChi2: 19778506342.82541   ||  StdChi2: 19100922802.332935   ||  
GenNb-4   ||  MinChi2: 1992317.0294161646   ||  MeanChi2: 12005609759.67236   ||  StdChi2: 14060583094.387535   ||  
GenNb-5   ||  MinChi2: 1992317.0294161646   ||  MeanChi2: 11859184506.188408   ||  StdChi2: 14095926180.100452   ||  
GenNb-6   ||  MinChi2: 1992317.0294161646   ||  MeanChi2: 11034011326.27758   ||  StdChi2: 14435587807.665356   ||  
GenNb-7   ||  MinChi2: 1992317.0294161646   ||  MeanChi2: 6914643610.911725   ||  StdChi2: 10521006326.506132   ||  
GenNb-8   ||  MinChi2: 1992317.0294161646   ||  MeanChi2: 6914426063.440514   ||  StdChi2: 10521148890.121122   ||  
GenNb-9   ||  MinChi2: 1992317.0294161646   ||  MeanChi2: 6012920437.651711   ||  StdChi2: 9696498372.965296   ||  
GenNb-11   ||  MinChi2: 1992317.0294161646   ||  MeanChi2: 5873871066.331457   ||  StdChi2: 9615930538.959908   ||  
GenNb-12   ||  MinChi2: 1992317.0294161646   ||  MeanChi2: 5741188128.014873   ||  StdChi2: 9685017996.889807   ||  
GenNb-13   ||  MinChi2: 641195.1056671734   ||  MeanChi2: 5175352602.638181   ||  StdChi2: 9823374449.73433   ||  
GenNb-15   ||  MinChi2: 641195.1056671734   ||  MeanChi2: 1929904187.8788657   ||  StdChi2: 3768123761.042787   ||  
GenNb-16   ||  MinChi2: 17699.603249115182   ||  MeanChi2: 1917930699.5006886   ||  StdChi2: 3774044104.747113   ||  
GenNb-17   ||  MinChi2: 17699.603249115182   ||  MeanChi2: 830527696.9534248   ||  StdChi2: 2325603025.4592443   ||  
GenNb-18   ||  MinChi2: 17699.603249115182   ||  MeanChi2: 806351106.7448555   ||  StdChi2: 2332805683.33277   ||  
GenNb-19   ||  MinChi2: 17699.603249115182   ||  MeanChi2: 637937669.6009794   ||  StdChi2: 1827805523.4003217   ||  
GenNb-20   ||  MinChi2: 17699.603249115182   ||  MeanChi2: 626811262.8202178   ||  StdChi2: 1830663432.8003206   ||  
GenNb-21   ||  MinChi2: 17699.603249115182   ||  MeanChi2: 625803193.7832334   ||  StdChi2: 1831003029.7830436   ||  
GenNb-22   ||  MinChi2: 17699.603249115182   ||  MeanChi2: 625767386.6632159   ||  StdChi2: 1831015183.1432304   ||  
GenNb-23   ||  MinChi2: 17699.603249115182   ||  MeanChi2: 288349628.31369746   ||  StdChi2: 831135187.1385227   ||  
GenNb-24   ||  MinChi2: 17699.603249115182   ||  MeanChi2: 286434389.9957744   ||  StdChi2: 831677114.8547789   ||  
GenNb-26   ||  MinChi2: 14188.524900531695   ||  MeanChi2: 286424575.4367818   ||  StdChi2: 831680479.6053352   ||  
GenNb-27   ||  MinChi2: 14188.524900531695   ||  MeanChi2: 215643393.7679674   ||  StdChi2: 623471123.3945702   ||  
GenNb-29   ||  MinChi2: 14188.524900531695   ||  MeanChi2: 215433331.79717714   ||  StdChi2: 623542926.137149   ||  
GenNb-31   ||  MinChi2: 14188.524900531695   ||  MeanChi2: 213015446.62438035   ||  StdChi2: 624210648.5878795   ||  
GenNb-33   ||  MinChi2: 14188.524900531695   ||  MeanChi2: 147504993.09103608   ||  StdChi2: 427706134.0242549   ||  
