GenNb-2   ||  MinChi2: 20037.564954273752   ||  MeanChi2: 923380.6782592864   ||  StdChi2: 1798681.2269323636   ||  
GenNb-8   ||  MinChi2: 20037.564954273752   ||  MeanChi2: 921932.9630734755   ||  StdChi2: 1799169.0820395644   ||  
GenNb-9   ||  MinChi2: 20037.564954273752   ||  MeanChi2: 854360.9354858424   ||  StdChi2: 1800500.1500069653   ||  
GenNb-12   ||  MinChi2: 20037.564954273752   ||  MeanChi2: 763038.702251684   ||  StdChi2: 1822634.0758764672   ||  
GenNb-13   ||  MinChi2: 3754.8312498124756   ||  MeanChi2: 760089.8413266626   ||  StdChi2: 1823835.8933945098   ||  
GenNb-14   ||  MinChi2: 3754.8312498124756   ||  MeanChi2: 758593.6538823444   ||  StdChi2: 1824418.0661006533   ||  
GenNb-15   ||  MinChi2: 3754.8312498124756   ||  MeanChi2: 718883.8055919474   ||  StdChi2: 1835343.724835176   ||  
GenNb-18   ||  MinChi2: 3754.8312498124756   ||  MeanChi2: 693499.0846454297   ||  StdChi2: 1842213.0396467182   ||  
GenNb-19   ||  MinChi2: 3754.8312498124756   ||  MeanChi2: 693099.6356068209   ||  StdChi2: 1842296.7530111936   ||  
GenNb-22   ||  MinChi2: 3754.8312498124756   ||  MeanChi2: 693008.3718068206   ||  StdChi2: 1842328.44886067   ||  
GenNb-26   ||  MinChi2: 3754.8312498124756   ||  MeanChi2: 692776.8251623344   ||  StdChi2: 1842411.1331341178   ||  
GenNb-28   ||  MinChi2: 3754.8312498124756   ||  MeanChi2: 665392.4351830197   ||  StdChi2: 1849987.5970931242   ||  
GenNb-31   ||  MinChi2: 3754.8312498124756   ||  MeanChi2: 662486.84930304   ||  StdChi2: 1850846.4536816531   ||  
GenNb-33   ||  MinChi2: 3754.8312498124756   ||  MeanChi2: 42666.33279317089   ||  StdChi2: 30279.326200920135   ||  
GenNb-34   ||  MinChi2: 3754.8312498124756   ||  MeanChi2: 42200.402189220746   ||  StdChi2: 30657.434466417024   ||  
GenNb-38   ||  MinChi2: 3754.8312498124756   ||  MeanChi2: 40003.93268598136   ||  StdChi2: 26807.15769971151   ||  
GenNb-39   ||  MinChi2: 3754.8312498124756   ||  MeanChi2: 37333.479024981425   ||  StdChi2: 28790.66609698894   ||  
GenNb-48   ||  MinChi2: 3754.8312498124756   ||  MeanChi2: 37031.02298273675   ||  StdChi2: 28965.04072217443   ||  
GenNb-50   ||  MinChi2: 3754.8312498124756   ||  MeanChi2: 33378.65004777604   ||  StdChi2: 26301.218875568466   ||  
GenNb-51   ||  MinChi2: 3754.8312498124756   ||  MeanChi2: 26107.959248739753   ||  StdChi2: 21966.28975263229   ||  
GenNb-52   ||  MinChi2: 3754.8312498124756   ||  MeanChi2: 26038.2114164262   ||  StdChi2: 21981.912508924368   ||  
GenNb-53   ||  MinChi2: 3754.8312498124756   ||  MeanChi2: 26024.03942946407   ||  StdChi2: 21946.271439416018   ||  
GenNb-57   ||  MinChi2: 2925.4863822321245   ||  MeanChi2: 22606.896066104724   ||  StdChi2: 22606.53463417985   ||  
GenNb-58   ||  MinChi2: 2689.51659846742   ||  MeanChi2: 21338.021834474235   ||  StdChi2: 23321.45465724428   ||  
GenNb-64   ||  MinChi2: 2689.51659846742   ||  MeanChi2: 21238.77905731144   ||  StdChi2: 23380.979131598462   ||  
GenNb-66   ||  MinChi2: 1531.430319876189   ||  MeanChi2: 20925.072642080453   ||  StdChi2: 23621.013943943435   ||  
GenNb-69   ||  MinChi2: 1531.430319876189   ||  MeanChi2: 17794.77202584004   ||  StdChi2: 16395.0803930815   ||  
GenNb-74   ||  MinChi2: 1531.430319876189   ||  MeanChi2: 17777.74574002823   ||  StdChi2: 16410.594369481358   ||  
GenNb-75   ||  MinChi2: 1384.6035449772085   ||  MeanChi2: 17763.06306253833   ||  StdChi2: 16425.18269634296   ||  
GenNb-83   ||  MinChi2: 1384.6035449772085   ||  MeanChi2: 17730.61747692999   ||  StdChi2: 16453.91175952792   ||  
GenNb-86   ||  MinChi2: 1094.3748202663573   ||  MeanChi2: 17701.594604458907   ||  StdChi2: 16482.94905925468   ||  
GenNb-89   ||  MinChi2: 973.5159807472643   ||  MeanChi2: 17441.20986127307   ||  StdChi2: 16722.837087154698   ||  
GenNb-92   ||  MinChi2: 973.5159807472643   ||  MeanChi2: 17375.246164524433   ||  StdChi2: 16659.229777955778   ||  
GenNb-93   ||  MinChi2: 973.5159807472643   ||  MeanChi2: 14480.959620943297   ||  StdChi2: 12832.808801802057   ||  
GenNb-96   ||  MinChi2: 973.5159807472643   ||  MeanChi2: 14478.688621943502   ||  StdChi2: 12831.691870243681   ||  
GenNb-98   ||  MinChi2: 973.5159807472643   ||  MeanChi2: 14428.634714877753   ||  StdChi2: 12878.217083912717   ||  
GenNb-108   ||  MinChi2: 973.5159807472643   ||  MeanChi2: 14427.33310262427   ||  StdChi2: 12877.575754807982   ||  
GenNb-109   ||  MinChi2: 973.5159807472643   ||  MeanChi2: 13840.030052041659   ||  StdChi2: 12699.315272739803   ||  
GenNb-113   ||  MinChi2: 973.5159807472643   ||  MeanChi2: 13424.120340706184   ||  StdChi2: 12720.024881940886   ||  
GenNb-115   ||  MinChi2: 973.5159807472643   ||  MeanChi2: 13161.52955382129   ||  StdChi2: 12795.894295517006   ||  
GenNb-125   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 13124.513933140459   ||  StdChi2: 12831.583534473119   ||  
GenNb-127   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 13084.588063609744   ||  StdChi2: 12851.847675853052   ||  
GenNb-128   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 13084.190774512554   ||  StdChi2: 12852.054766264242   ||  
GenNb-130   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 12882.6227830478   ||  StdChi2: 12974.884483158443   ||  
GenNb-133   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 12874.492548750008   ||  StdChi2: 12981.385019895373   ||  
GenNb-138   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 12861.24164032911   ||  StdChi2: 12986.120862719235   ||  
GenNb-140   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 12831.327951576575   ||  StdChi2: 13011.35722386193   ||  
GenNb-147   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 12817.619082422194   ||  StdChi2: 13023.11286200208   ||  
GenNb-155   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 12815.098671717768   ||  StdChi2: 13025.119213099388   ||  
GenNb-168   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 12812.814744524638   ||  StdChi2: 13027.088570825452   ||  
GenNb-175   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 12785.545908457487   ||  StdChi2: 13051.851415467076   ||  
GenNb-183   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 12771.184579352892   ||  StdChi2: 13060.934290471396   ||  
GenNb-184   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 12638.284917746103   ||  StdChi2: 12821.24370845374   ||  
GenNb-186   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 12631.723111842426   ||  StdChi2: 12810.744924622037   ||  
GenNb-210   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 12623.680813375933   ||  StdChi2: 12813.57379428539   ||  
GenNb-226   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 12594.662708021306   ||  StdChi2: 12824.153064798655   ||  
GenNb-228   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 12589.597668767437   ||  StdChi2: 12827.378881573703   ||  
GenNb-233   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 11522.954847038189   ||  StdChi2: 12690.983151391056   ||  
GenNb-245   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 11439.12958912342   ||  StdChi2: 12714.380247342344   ||  
GenNb-259   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 11428.206217430026   ||  StdChi2: 12723.540997298125   ||  
GenNb-269   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 11379.547432481413   ||  StdChi2: 12632.452911841987   ||  
GenNb-271   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 11343.10386914632   ||  StdChi2: 12653.049417561335   ||  
GenNb-285   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 11332.334125931779   ||  StdChi2: 12662.135768314944   ||  
GenNb-290   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 11311.620268317496   ||  StdChi2: 12668.080668363373   ||  
GenNb-296   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 11308.262295549546   ||  StdChi2: 12670.437140749731   ||  
GenNb-299   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 11278.534384694276   ||  StdChi2: 12679.644349763637   ||  
GenNb-328   ||  MinChi2: 603.3597739389527   ||  MeanChi2: 11243.133187005817   ||  StdChi2: 12613.986861680836   ||  
GenNb-339   ||  MinChi2: 392.02964504839184   ||  MeanChi2: 11222.00017411676   ||  StdChi2: 12631.95887113755   ||  
GenNb-350   ||  MinChi2: 392.02964504839184   ||  MeanChi2: 11219.284653832156   ||  StdChi2: 12627.255830889888   ||  
GenNb-381   ||  MinChi2: 392.02964504839184   ||  MeanChi2: 11178.514712799562   ||  StdChi2: 12639.581097652612   ||  
GenNb-386   ||  MinChi2: 392.02964504839184   ||  MeanChi2: 11146.984805355041   ||  StdChi2: 12581.526912760366   ||  
GenNb-403   ||  MinChi2: 392.02964504839184   ||  MeanChi2: 11144.509261419647   ||  StdChi2: 12576.987611926488   ||  
GenNb-411   ||  MinChi2: 392.02964504839184   ||  MeanChi2: 11143.497360068708   ||  StdChi2: 12577.69131536395   ||  
GenNb-412   ||  MinChi2: 392.02964504839184   ||  MeanChi2: 11139.746884833838   ||  StdChi2: 12578.879395928081   ||  
GenNb-428   ||  MinChi2: 392.02964504839184   ||  MeanChi2: 11139.505460993758   ||  StdChi2: 12579.081611076203   ||  
GenNb-437   ||  MinChi2: 392.02964504839184   ||  MeanChi2: 11137.42905465591   ||  StdChi2: 12579.730271624965   ||  
GenNb-465   ||  MinChi2: 392.02964504839184   ||  MeanChi2: 11136.201262079681   ||  StdChi2: 12580.121122906845   ||  
GenNb-499   ||  MinChi2: 280.1120641001368   ||  MeanChi2: 11125.009503984855   ||  StdChi2: 12589.720692111661   ||  
GenNb-506   ||  MinChi2: 280.1120641001368   ||  MeanChi2: 11093.717427160058   ||  StdChi2: 12600.006066093792   ||  
GenNb-510   ||  MinChi2: 280.1120641001368   ||  MeanChi2: 11091.836249307758   ||  StdChi2: 12600.58889657123   ||  
GenNb-518   ||  MinChi2: 178.01628804745735   ||  MeanChi2: 11081.62667170249   ||  StdChi2: 12609.383209891725   ||  
GenNb-523   ||  MinChi2: 178.01628804745735   ||  MeanChi2: 11079.243878158872   ||  StdChi2: 12611.182416181691   ||  
GenNb-536   ||  MinChi2: 178.01628804745735   ||  MeanChi2: 11075.247219283725   ||  StdChi2: 12614.208743765115   ||  
GenNb-603   ||  MinChi2: 178.01628804745735   ||  MeanChi2: 11065.214559086244   ||  StdChi2: 12621.85260281392   ||  
GenNb-607   ||  MinChi2: 178.01628804745735   ||  MeanChi2: 11056.196733476183   ||  StdChi2: 12626.9041806657   ||  
GenNb-635   ||  MinChi2: 178.01628804745735   ||  MeanChi2: 11046.260097901113   ||  StdChi2: 12608.713898647793   ||  
GenNb-652   ||  MinChi2: 170.55490429852964   ||  MeanChi2: 11045.513959526219   ||  StdChi2: 12609.357224537845   ||  
GenNb-659   ||  MinChi2: 170.55490429852964   ||  MeanChi2: 11040.738762743367   ||  StdChi2: 12610.82933829503   ||  
GenNb-669   ||  MinChi2: 170.55490429852964   ||  MeanChi2: 11038.678391667452   ||  StdChi2: 12612.404820034946   ||  
GenNb-709   ||  MinChi2: 170.55490429852964   ||  MeanChi2: 11038.502991391488   ||  StdChi2: 12612.54996795731   ||  
GenNb-719   ||  MinChi2: 170.55490429852964   ||  MeanChi2: 11037.216104496156   ||  StdChi2: 12613.53540558697   ||  
GenNb-720   ||  MinChi2: 170.55490429852964   ||  MeanChi2: 11031.28425136305   ||  StdChi2: 12615.534301943024   ||  
GenNb-725   ||  MinChi2: 170.55490429852964   ||  MeanChi2: 11031.275942113973   ||  StdChi2: 12615.541172167144   ||  
GenNb-731   ||  MinChi2: 170.55490429852964   ||  MeanChi2: 11031.233247664644   ||  StdChi2: 12615.576473359431   ||  
GenNb-734   ||  MinChi2: 170.55490429852964   ||  MeanChi2: 11029.119474020077   ||  StdChi2: 12616.294744342898   ||  
GenNb-783   ||  MinChi2: 170.55490429852964   ||  MeanChi2: 11026.328757564163   ||  StdChi2: 12618.604208459108   ||  
GenNb-901   ||  MinChi2: 170.55490429852964   ||  MeanChi2: 11025.26086912696   ||  StdChi2: 12619.489299651212   ||  
GenNb-904   ||  MinChi2: 170.4529681769672   ||  MeanChi2: 11025.250675514804   ||  StdChi2: 12619.498067762916   ||  
GenNb-911   ||  MinChi2: 170.4529681769672   ||  MeanChi2: 11024.703329848331   ||  StdChi2: 12619.872605111223   ||  
GenNb-937   ||  MinChi2: 170.4529681769672   ||  MeanChi2: 11008.402016562819   ||  StdChi2: 12590.125455658163   ||  
GenNb-948   ||  MinChi2: 170.4529681769672   ||  MeanChi2: 11006.778202740385   ||  StdChi2: 12591.473718243953   ||  
GenNb-952   ||  MinChi2: 170.24765387141588   ||  MeanChi2: 11006.757671309831   ||  StdChi2: 12591.491387899216   ||  
GenNb-953   ||  MinChi2: 170.24765387141588   ||  MeanChi2: 11004.768144319385   ||  StdChi2: 12592.168117752872   ||  
GenNb-979   ||  MinChi2: 170.24765387141588   ||  MeanChi2: 10997.310319330585   ||  StdChi2: 12597.29099170646   ||  
GenNb-1002   ||  MinChi2: 170.24765387141588   ||  MeanChi2: 10993.176037171937   ||  StdChi2: 12599.611785072671   ||  
GenNb-1008   ||  MinChi2: 170.24765387141588   ||  MeanChi2: 10993.079737588985   ||  StdChi2: 12599.64130131924   ||  
GenNb-1021   ||  MinChi2: 170.24765387141588   ||  MeanChi2: 10989.763253547875   ||  StdChi2: 12600.771848628136   ||  
GenNb-1045   ||  MinChi2: 170.24765387141588   ||  MeanChi2: 10978.768911644216   ||  StdChi2: 12592.28168221632   ||  
GenNb-1058   ||  MinChi2: 170.24765387141588   ||  MeanChi2: 10972.403464344876   ||  StdChi2: 12595.872788009676   ||  
GenNb-1080   ||  MinChi2: 170.24765387141588   ||  MeanChi2: 10971.673279571156   ||  StdChi2: 12596.429448135108   ||  
GenNb-1114   ||  MinChi2: 170.24765387141588   ||  MeanChi2: 10971.507809184044   ||  StdChi2: 12596.566421684933   ||  
GenNb-1154   ||  MinChi2: 170.24765387141588   ||  MeanChi2: 10969.68890388481   ||  StdChi2: 12598.073271416479   ||  
GenNb-1171   ||  MinChi2: 170.24765387141588   ||  MeanChi2: 10969.114949440178   ||  StdChi2: 12598.46780537137   ||  
GenNb-1186   ||  MinChi2: 170.24765387141588   ||  MeanChi2: 10936.825099178035   ||  StdChi2: 12609.829145532143   ||  
GenNb-1197   ||  MinChi2: 170.24765387141588   ||  MeanChi2: 10936.667406560828   ||  StdChi2: 12609.70760140691   ||  
GenNb-1200   ||  MinChi2: 170.24765387141588   ||  MeanChi2: 10934.097989269121   ||  StdChi2: 12607.729517542195   ||  
GenNb-1206   ||  MinChi2: 170.24765387141588   ||  MeanChi2: 10914.76103540957   ||  StdChi2: 12614.893710891281   ||  
GenNb-1207   ||  MinChi2: 170.24765387141588   ||  MeanChi2: 10911.56997050883   ||  StdChi2: 12617.52522963099   ||  
GenNb-1330   ||  MinChi2: 170.24765387141588   ||  MeanChi2: 10911.32967261017   ||  StdChi2: 12617.615674024972   ||  
GenNb-1334   ||  MinChi2: 170.24765387141588   ||  MeanChi2: 10907.125528282639   ||  StdChi2: 12620.802162639764   ||  
GenNb-1353   ||  MinChi2: 169.11225330599163   ||  MeanChi2: 10907.011988226095   ||  StdChi2: 12620.898758644591   ||  
GenNb-1392   ||  MinChi2: 169.11225330599163   ||  MeanChi2: 10817.83430747925   ||  StdChi2: 12684.344724796143   ||  
GenNb-1407   ||  MinChi2: 169.11225330599163   ||  MeanChi2: 10739.918148484308   ||  StdChi2: 12743.700332015003   ||  
GenNb-1427   ||  MinChi2: 169.11225330599163   ||  MeanChi2: 10721.155545279724   ||  StdChi2: 12750.578270863707   ||  
GenNb-1460   ||  MinChi2: 169.11225330599163   ||  MeanChi2: 10713.970862924663   ||  StdChi2: 12753.276807650824   ||  
GenNb-1475   ||  MinChi2: 169.11225330599163   ||  MeanChi2: 10712.472740637886   ||  StdChi2: 12753.844013846461   ||  
GenNb-1501   ||  MinChi2: 169.11225330599163   ||  MeanChi2: 10711.484434721866   ||  StdChi2: 12754.636231821205   ||  
GenNb-1518   ||  MinChi2: 169.11225330599163   ||  MeanChi2: 10711.34188286271   ||  StdChi2: 12754.750553045184   ||  
