GenNb-1   ||  MinChi2: 420.4093796799424   ||  MeanChi2: 760.4721269066599   ||  StdChi2: 204.29115316031871   ||  
GenNb-2   ||  MinChi2: 420.4093796799424   ||  MeanChi2: 757.8969175208362   ||  StdChi2: 201.88703837644158   ||  
GenNb-3   ||  MinChi2: 420.4093796799424   ||  MeanChi2: 732.0906733613236   ||  StdChi2: 191.83370069581838   ||  
GenNb-4   ||  MinChi2: 420.4093796799424   ||  MeanChi2: 644.5628212273706   ||  StdChi2: 180.7173186787887   ||  
GenNb-5   ||  MinChi2: 91.51575375611552   ||  MeanChi2: 558.3137583570565   ||  StdChi2: 294.8659715706404   ||  
GenNb-6   ||  MinChi2: 36.90757256539317   ||  MeanChi2: 348.25139294719   ||  StdChi2: 344.65983102686135   ||  
GenNb-7   ||  MinChi2: 36.90757256539317   ||  MeanChi2: 341.87758226692455   ||  StdChi2: 334.3490003119992   ||  
GenNb-8   ||  MinChi2: 36.90757256539317   ||  MeanChi2: 330.9023519996501   ||  StdChi2: 316.7096926754382   ||  
GenNb-9   ||  MinChi2: 36.90757256539317   ||  MeanChi2: 277.51261236858187   ||  StdChi2: 325.59195153038996   ||  
GenNb-10   ||  MinChi2: 36.90757256539317   ||  MeanChi2: 250.7455119860322   ||  StdChi2: 287.18868268705245   ||  
GenNb-11   ||  MinChi2: 36.90757256539317   ||  MeanChi2: 232.4096513879604   ||  StdChi2: 255.74688550725094   ||  
GenNb-12   ||  MinChi2: 36.90757256539317   ||  MeanChi2: 78.89281433319285   ||  StdChi2: 40.34356247535968   ||  
GenNb-13   ||  MinChi2: 36.90757256539317   ||  MeanChi2: 65.8239250224186   ||  StdChi2: 27.927175989012973   ||  
GenNb-14   ||  MinChi2: 36.90757256539317   ||  MeanChi2: 49.9412133693895   ||  StdChi2: 11.20899975472743   ||  
GenNb-15   ||  MinChi2: 31.342245221893965   ||  MeanChi2: 46.623323330552395   ||  StdChi2: 12.675621262811388   ||  
GenNb-16   ||  MinChi2: 3.901374812132698   ||  MeanChi2: 22.581782279888767   ||  StdChi2: 17.390142470189883   ||  
