GenNb-1   ||  MinChi2: 103.8208170517976   ||  MeanChi2: 694.9591028410761   ||  StdChi2: 300.38859328313305   ||  
GenNb-2   ||  MinChi2: 103.8208170517976   ||  MeanChi2: 675.6416644741811   ||  StdChi2: 290.928288383337   ||  
GenNb-3   ||  MinChi2: 103.8208170517976   ||  MeanChi2: 598.6537443130801   ||  StdChi2: 310.5614954266615   ||  
GenNb-4   ||  MinChi2: 103.8208170517976   ||  MeanChi2: 577.7944657845003   ||  StdChi2: 312.48694470128174   ||  
GenNb-5   ||  MinChi2: 103.8208170517976   ||  MeanChi2: 448.9302165245381   ||  StdChi2: 256.38721004028605   ||  
GenNb-6   ||  MinChi2: 103.8208170517976   ||  MeanChi2: 361.86297748473464   ||  StdChi2: 190.74369323029748   ||  
GenNb-8   ||  MinChi2: 87.55077337381634   ||  MeanChi2: 278.960447703107   ||  StdChi2: 129.91360627537918   ||  
GenNb-9   ||  MinChi2: 78.56511101207386   ||  MeanChi2: 232.14080111362105   ||  StdChi2: 106.78773752510453   ||  
GenNb-10   ||  MinChi2: 78.56511101207386   ||  MeanChi2: 231.85372800590335   ||  StdChi2: 106.41999399381037   ||  
GenNb-11   ||  MinChi2: 26.796678284215428   ||  MeanChi2: 168.8313116894263   ||  StdChi2: 134.13635504831632   ||  
GenNb-12   ||  MinChi2: 10.95738117158521   ||  MeanChi2: 139.58400003882895   ||  StdChi2: 119.59631336581326   ||  
GenNb-13   ||  MinChi2: 10.95738117158521   ||  MeanChi2: 91.82419910893404   ||  StdChi2: 68.48472509250954   ||  
GenNb-14   ||  MinChi2: 10.95738117158521   ||  MeanChi2: 77.29832183615169   ||  StdChi2: 58.37804065563835   ||  
GenNb-15   ||  MinChi2: 9.201545193133073   ||  MeanChi2: 62.4280174781706   ||  StdChi2: 44.426377266673775   ||  
