GenNb-1   ||  MinChi2: 7419.249285749735   ||  MeanChi2: 7419.249285749735   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: 7132.141483175548   ||  MeanChi2: 7132.141483175548   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: 7117.181283993122   ||  MeanChi2: 7117.181283993122   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: 6966.233590657026   ||  MeanChi2: 6966.233590657026   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: 6477.879995766572   ||  MeanChi2: 6477.879995766572   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: 6295.447470356595   ||  MeanChi2: 6295.447470356595   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: 6250.184756436625   ||  MeanChi2: 6250.184756436625   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: 6249.087507108555   ||  MeanChi2: 6249.087507108555   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: 6215.291438772969   ||  MeanChi2: 6215.291438772969   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: 5851.354643012345   ||  MeanChi2: 5851.354643012345   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: 5742.004618055272   ||  MeanChi2: 5742.004618055272   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: 5677.325934708041   ||  MeanChi2: 5677.325934708041   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: 5674.607986670274   ||  MeanChi2: 5674.607986670274   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: 5649.740394443138   ||  MeanChi2: 5649.740394443138   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: 5532.0182549261835   ||  MeanChi2: 5532.0182549261835   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: 5438.729495318317   ||  MeanChi2: 5438.729495318317   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: 5437.038347446919   ||  MeanChi2: 5437.038347446919   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: 5155.178418767873   ||  MeanChi2: 5155.178418767873   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: 5142.709690007806   ||  MeanChi2: 5142.709690007806   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: 5130.775867818298   ||  MeanChi2: 5130.775867818298   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: 5129.7655715435285   ||  MeanChi2: 5129.7655715435285   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: 5025.139749426356   ||  MeanChi2: 5025.139749426356   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: 5004.458373286987   ||  MeanChi2: 5004.458373286987   ||  StdChi2: 0.0   ||  
GenNb-24   ||  MinChi2: 4872.149538800774   ||  MeanChi2: 4872.149538800774   ||  StdChi2: 0.0   ||  
GenNb-25   ||  MinChi2: 4554.2529943564   ||  MeanChi2: 4554.2529943564   ||  StdChi2: 0.0   ||  
GenNb-26   ||  MinChi2: 4392.278936342111   ||  MeanChi2: 4392.278936342111   ||  StdChi2: 0.0   ||  
GenNb-27   ||  MinChi2: 4175.756141663474   ||  MeanChi2: 4175.756141663474   ||  StdChi2: 0.0   ||  
GenNb-28   ||  MinChi2: 4140.135827729007   ||  MeanChi2: 4140.135827729007   ||  StdChi2: 0.0   ||  
GenNb-29   ||  MinChi2: 4109.107126395768   ||  MeanChi2: 4109.107126395768   ||  StdChi2: 0.0   ||  
GenNb-30   ||  MinChi2: 4069.162142412375   ||  MeanChi2: 4069.162142412375   ||  StdChi2: 0.0   ||  
GenNb-31   ||  MinChi2: 4038.0345900590382   ||  MeanChi2: 4038.0345900590382   ||  StdChi2: 0.0   ||  
GenNb-32   ||  MinChi2: 4034.970915630887   ||  MeanChi2: 4034.970915630887   ||  StdChi2: 0.0   ||  
GenNb-33   ||  MinChi2: 3980.5412487018607   ||  MeanChi2: 3980.5412487018607   ||  StdChi2: 0.0   ||  
GenNb-34   ||  MinChi2: 3924.5841175126457   ||  MeanChi2: 3924.5841175126457   ||  StdChi2: 0.0   ||  
GenNb-35   ||  MinChi2: 3892.960722087308   ||  MeanChi2: 3892.960722087308   ||  StdChi2: 0.0   ||  
GenNb-36   ||  MinChi2: 3824.366297337097   ||  MeanChi2: 3824.366297337097   ||  StdChi2: 0.0   ||  
GenNb-37   ||  MinChi2: 3774.0820387127883   ||  MeanChi2: 3774.0820387127883   ||  StdChi2: 0.0   ||  
GenNb-38   ||  MinChi2: 3762.541818713381   ||  MeanChi2: 3762.541818713381   ||  StdChi2: 0.0   ||  
