GenNb-1   ||  MinChi2: -347787.31721834146   ||  MeanChi2: -347787.31721834146   ||  StdChi2: 0.0   ||  
GenNb-2   ||  MinChi2: -347787.31721834146   ||  MeanChi2: -347787.31721834146   ||  StdChi2: 0.0   ||  
GenNb-3   ||  MinChi2: -347656.5204722422   ||  MeanChi2: -347656.5204722422   ||  StdChi2: 0.0   ||  
GenNb-4   ||  MinChi2: -347302.0184233811   ||  MeanChi2: -347302.0184233811   ||  StdChi2: 0.0   ||  
GenNb-5   ||  MinChi2: -347302.0184233811   ||  MeanChi2: -347302.0184233811   ||  StdChi2: 0.0   ||  
GenNb-6   ||  MinChi2: -347192.3091756765   ||  MeanChi2: -347192.3091756765   ||  StdChi2: 0.0   ||  
GenNb-7   ||  MinChi2: -347192.3091756765   ||  MeanChi2: -347192.3091756765   ||  StdChi2: 0.0   ||  
GenNb-8   ||  MinChi2: -347192.3091756765   ||  MeanChi2: -347192.3091756765   ||  StdChi2: 0.0   ||  
GenNb-9   ||  MinChi2: -346341.78570925107   ||  MeanChi2: -346341.78570925107   ||  StdChi2: 0.0   ||  
GenNb-10   ||  MinChi2: -342921.6025201876   ||  MeanChi2: -342921.6025201876   ||  StdChi2: 0.0   ||  
GenNb-11   ||  MinChi2: -331636.6576479496   ||  MeanChi2: -331636.6576479496   ||  StdChi2: 0.0   ||  
GenNb-12   ||  MinChi2: -330855.84800441575   ||  MeanChi2: -330855.84800441575   ||  StdChi2: 0.0   ||  
GenNb-13   ||  MinChi2: -329608.86235045793   ||  MeanChi2: -329608.86235045793   ||  StdChi2: 0.0   ||  
GenNb-14   ||  MinChi2: -329608.86235045793   ||  MeanChi2: -329608.86235045793   ||  StdChi2: 0.0   ||  
GenNb-15   ||  MinChi2: -329608.86235045793   ||  MeanChi2: -329608.86235045793   ||  StdChi2: 0.0   ||  
GenNb-16   ||  MinChi2: -328509.6198986862   ||  MeanChi2: -328509.6198986862   ||  StdChi2: 0.0   ||  
GenNb-17   ||  MinChi2: -327935.41846939485   ||  MeanChi2: -327935.41846939485   ||  StdChi2: 0.0   ||  
GenNb-18   ||  MinChi2: -327935.41846939485   ||  MeanChi2: -327935.41846939485   ||  StdChi2: 0.0   ||  
GenNb-19   ||  MinChi2: -326401.65269949014   ||  MeanChi2: -326401.65269949014   ||  StdChi2: 0.0   ||  
GenNb-20   ||  MinChi2: -316660.32004680746   ||  MeanChi2: -316660.32004680746   ||  StdChi2: 0.0   ||  
GenNb-21   ||  MinChi2: -311871.9279516248   ||  MeanChi2: -311871.9279516248   ||  StdChi2: 0.0   ||  
GenNb-22   ||  MinChi2: -311871.9279516248   ||  MeanChi2: -311871.9279516248   ||  StdChi2: 0.0   ||  
GenNb-23   ||  MinChi2: -311871.9279516248   ||  MeanChi2: -311871.9279516248   ||  StdChi2: 0.0   ||  
GenNb-24   ||  MinChi2: -307214.4178665217   ||  MeanChi2: -307214.4178665217   ||  StdChi2: 0.0   ||  
GenNb-25   ||  MinChi2: -306301.16518936487   ||  MeanChi2: -306301.16518936487   ||  StdChi2: 0.0   ||  
GenNb-26   ||  MinChi2: -306301.16518936487   ||  MeanChi2: -306301.16518936487   ||  StdChi2: 0.0   ||  
GenNb-27   ||  MinChi2: -306301.16518936487   ||  MeanChi2: -306301.16518936487   ||  StdChi2: 0.0   ||  
GenNb-28   ||  MinChi2: -303035.97831809655   ||  MeanChi2: -303035.97831809655   ||  StdChi2: 0.0   ||  
GenNb-29   ||  MinChi2: -303035.97831809655   ||  MeanChi2: -303035.97831809655   ||  StdChi2: 0.0   ||  
GenNb-30   ||  MinChi2: -303014.25249620306   ||  MeanChi2: -303014.25249620306   ||  StdChi2: 0.0   ||  
GenNb-31   ||  MinChi2: -303014.25249620306   ||  MeanChi2: -303014.25249620306   ||  StdChi2: 0.0   ||  
GenNb-32   ||  MinChi2: -303014.25249620306   ||  MeanChi2: -303014.25249620306   ||  StdChi2: 0.0   ||  
GenNb-33   ||  MinChi2: -303014.25249620306   ||  MeanChi2: -303014.25249620306   ||  StdChi2: 0.0   ||  
GenNb-34   ||  MinChi2: -303014.25249620306   ||  MeanChi2: -303014.25249620306   ||  StdChi2: 0.0   ||  
GenNb-35   ||  MinChi2: -297610.1661734389   ||  MeanChi2: -297610.1661734389   ||  StdChi2: 0.0   ||  
GenNb-36   ||  MinChi2: -297610.1661734389   ||  MeanChi2: -297610.1661734389   ||  StdChi2: 0.0   ||  
GenNb-37   ||  MinChi2: -297610.1661734389   ||  MeanChi2: -297610.1661734389   ||  StdChi2: 0.0   ||  
GenNb-38   ||  MinChi2: -297610.1661734389   ||  MeanChi2: -297610.1661734389   ||  StdChi2: 0.0   ||  
GenNb-39   ||  MinChi2: -290758.506827668   ||  MeanChi2: -290758.506827668   ||  StdChi2: 0.0   ||  
GenNb-40   ||  MinChi2: -287306.7897730671   ||  MeanChi2: -287306.7897730671   ||  StdChi2: 0.0   ||  
GenNb-41   ||  MinChi2: -287306.7897730671   ||  MeanChi2: -287306.7897730671   ||  StdChi2: 0.0   ||  
GenNb-42   ||  MinChi2: -287306.7897730671   ||  MeanChi2: -287306.7897730671   ||  StdChi2: 0.0   ||  
GenNb-43   ||  MinChi2: -267581.11874759616   ||  MeanChi2: -267581.11874759616   ||  StdChi2: 0.0   ||  
GenNb-44   ||  MinChi2: -256350.96489239536   ||  MeanChi2: -256350.96489239536   ||  StdChi2: 0.0   ||  
GenNb-45   ||  MinChi2: -256350.96489239536   ||  MeanChi2: -256350.96489239536   ||  StdChi2: 0.0   ||  
GenNb-46   ||  MinChi2: -245528.4624160088   ||  MeanChi2: -245528.4624160088   ||  StdChi2: 0.0   ||  
GenNb-47   ||  MinChi2: -241378.65348757   ||  MeanChi2: -241378.65348757   ||  StdChi2: 0.0   ||  
GenNb-48   ||  MinChi2: -218104.8127434997   ||  MeanChi2: -218104.8127434997   ||  StdChi2: 0.0   ||  
GenNb-49   ||  MinChi2: -218104.8127434997   ||  MeanChi2: -218104.8127434997   ||  StdChi2: 0.0   ||  
GenNb-50   ||  MinChi2: -218104.8127434997   ||  MeanChi2: -218104.8127434997   ||  StdChi2: 0.0   ||  
GenNb-51   ||  MinChi2: -214031.89271709468   ||  MeanChi2: -214031.89271709468   ||  StdChi2: 0.0   ||  
GenNb-52   ||  MinChi2: -214031.89271709468   ||  MeanChi2: -214031.89271709468   ||  StdChi2: 0.0   ||  
GenNb-53   ||  MinChi2: -214031.89271709468   ||  MeanChi2: -214031.89271709468   ||  StdChi2: 0.0   ||  
GenNb-54   ||  MinChi2: -184748.67176373658   ||  MeanChi2: -184748.67176373658   ||  StdChi2: 0.0   ||  
GenNb-55   ||  MinChi2: -173186.22256578231   ||  MeanChi2: -173186.22256578231   ||  StdChi2: 0.0   ||  
GenNb-56   ||  MinChi2: -170159.03441957556   ||  MeanChi2: -170159.03441957556   ||  StdChi2: 0.0   ||  
GenNb-57   ||  MinChi2: -170159.03441957556   ||  MeanChi2: -170159.03441957556   ||  StdChi2: 0.0   ||  
GenNb-58   ||  MinChi2: -170159.03441957556   ||  MeanChi2: -170159.03441957556   ||  StdChi2: 0.0   ||  
GenNb-59   ||  MinChi2: -148147.36009864107   ||  MeanChi2: -148147.36009864107   ||  StdChi2: 0.0   ||  
GenNb-60   ||  MinChi2: -148147.36009864107   ||  MeanChi2: -148147.36009864107   ||  StdChi2: 0.0   ||  
GenNb-61   ||  MinChi2: -148147.36009864107   ||  MeanChi2: -148147.36009864107   ||  StdChi2: 0.0   ||  
GenNb-62   ||  MinChi2: -148147.36009864107   ||  MeanChi2: -148147.36009864107   ||  StdChi2: 0.0   ||  
GenNb-63   ||  MinChi2: -131537.1871458442   ||  MeanChi2: -131537.1871458442   ||  StdChi2: 0.0   ||  
GenNb-64   ||  MinChi2: -121478.62864998826   ||  MeanChi2: -121478.62864998826   ||  StdChi2: 0.0   ||  
GenNb-65   ||  MinChi2: -113286.45369986887   ||  MeanChi2: -113286.45369986887   ||  StdChi2: 0.0   ||  
GenNb-66   ||  MinChi2: -84204.16218910141   ||  MeanChi2: -84204.16218910141   ||  StdChi2: 0.0   ||  
GenNb-67   ||  MinChi2: -84204.16218910141   ||  MeanChi2: -84204.16218910141   ||  StdChi2: 0.0   ||  
GenNb-68   ||  MinChi2: -84204.16218910141   ||  MeanChi2: -84204.16218910141   ||  StdChi2: 0.0   ||  
GenNb-69   ||  MinChi2: -84204.16218910141   ||  MeanChi2: -84204.16218910141   ||  StdChi2: 0.0   ||  
GenNb-70   ||  MinChi2: -84204.16218910141   ||  MeanChi2: -84204.16218910141   ||  StdChi2: 0.0   ||  
GenNb-71   ||  MinChi2: -80603.56959416479   ||  MeanChi2: -80603.56959416479   ||  StdChi2: 0.0   ||  
GenNb-72   ||  MinChi2: -80603.56959416479   ||  MeanChi2: -80603.56959416479   ||  StdChi2: 0.0   ||  
GenNb-73   ||  MinChi2: -77468.33465525148   ||  MeanChi2: -77468.33465525148   ||  StdChi2: 0.0   ||  
GenNb-74   ||  MinChi2: -68123.50269005746   ||  MeanChi2: -68123.50269005746   ||  StdChi2: 0.0   ||  
GenNb-75   ||  MinChi2: -68123.50269005746   ||  MeanChi2: -68123.50269005746   ||  StdChi2: 0.0   ||  
GenNb-76   ||  MinChi2: -68123.50269005746   ||  MeanChi2: -68123.50269005746   ||  StdChi2: 0.0   ||  
GenNb-77   ||  MinChi2: -68123.50269005746   ||  MeanChi2: -68123.50269005746   ||  StdChi2: 0.0   ||  
GenNb-78   ||  MinChi2: -68123.50269005746   ||  MeanChi2: -68123.50269005746   ||  StdChi2: 0.0   ||  
GenNb-79   ||  MinChi2: -58069.56915429998   ||  MeanChi2: -58069.56915429998   ||  StdChi2: 0.0   ||  
GenNb-80   ||  MinChi2: -52775.48409060052   ||  MeanChi2: -52775.48409060052   ||  StdChi2: 0.0   ||  
GenNb-81   ||  MinChi2: -47000.196876236616   ||  MeanChi2: -47000.196876236616   ||  StdChi2: 0.0   ||  
GenNb-82   ||  MinChi2: -47000.196876236616   ||  MeanChi2: -47000.196876236616   ||  StdChi2: 0.0   ||  
GenNb-83   ||  MinChi2: -46806.430039770974   ||  MeanChi2: -46806.430039770974   ||  StdChi2: 0.0   ||  
GenNb-84   ||  MinChi2: -46806.430039770974   ||  MeanChi2: -46806.430039770974   ||  StdChi2: 0.0   ||  
GenNb-85   ||  MinChi2: -27898.3622116121   ||  MeanChi2: -27898.3622116121   ||  StdChi2: 0.0   ||  
GenNb-86   ||  MinChi2: -27898.3622116121   ||  MeanChi2: -27898.3622116121   ||  StdChi2: 0.0   ||  
GenNb-87   ||  MinChi2: -3167.738490183251   ||  MeanChi2: -3167.738490183251   ||  StdChi2: 0.0   ||  
GenNb-88   ||  MinChi2: -3167.738490183251   ||  MeanChi2: -3167.738490183251   ||  StdChi2: 0.0   ||  
GenNb-89   ||  MinChi2: -3167.738490183251   ||  MeanChi2: -3167.738490183251   ||  StdChi2: 0.0   ||  
GenNb-90   ||  MinChi2: -3167.738490183251   ||  MeanChi2: -3167.738490183251   ||  StdChi2: 0.0   ||  
GenNb-91   ||  MinChi2: -3167.738490183251   ||  MeanChi2: -3167.738490183251   ||  StdChi2: 0.0   ||  
GenNb-92   ||  MinChi2: -3160.4754890532718   ||  MeanChi2: -3160.4754890532718   ||  StdChi2: 0.0   ||  
GenNb-93   ||  MinChi2: -3144.656280749364   ||  MeanChi2: -3144.656280749364   ||  StdChi2: 0.0   ||  
GenNb-94   ||  MinChi2: -3122.9387771076536   ||  MeanChi2: -3122.9387771076536   ||  StdChi2: 0.0   ||  
GenNb-95   ||  MinChi2: -3122.9387771076536   ||  MeanChi2: -3122.9387771076536   ||  StdChi2: 0.0   ||  
GenNb-96   ||  MinChi2: -3122.9387771076536   ||  MeanChi2: -3122.9387771076536   ||  StdChi2: 0.0   ||  
GenNb-97   ||  MinChi2: -3108.1409998612094   ||  MeanChi2: -3108.1409998612094   ||  StdChi2: 0.0   ||  
GenNb-98   ||  MinChi2: -3108.1409998612094   ||  MeanChi2: -3108.1409998612094   ||  StdChi2: 0.0   ||  
GenNb-99   ||  MinChi2: -3017.831788172893   ||  MeanChi2: -3017.831788172893   ||  StdChi2: 0.0   ||  
GenNb-100   ||  MinChi2: -3017.831788172893   ||  MeanChi2: -3017.831788172893   ||  StdChi2: 0.0   ||  
GenNb-101   ||  MinChi2: -3017.831788172893   ||  MeanChi2: -3017.831788172893   ||  StdChi2: 0.0   ||  
GenNb-102   ||  MinChi2: -3017.831788172893   ||  MeanChi2: -3017.831788172893   ||  StdChi2: 0.0   ||  
GenNb-103   ||  MinChi2: -3008.8078450783205   ||  MeanChi2: -3008.8078450783205   ||  StdChi2: 0.0   ||  
GenNb-104   ||  MinChi2: -2865.362949060688   ||  MeanChi2: -2865.362949060688   ||  StdChi2: 0.0   ||  
GenNb-105   ||  MinChi2: -2865.362949060688   ||  MeanChi2: -2865.362949060688   ||  StdChi2: 0.0   ||  
GenNb-106   ||  MinChi2: -2865.362949060688   ||  MeanChi2: -2865.362949060688   ||  StdChi2: 0.0   ||  
GenNb-107   ||  MinChi2: -2826.293866880069   ||  MeanChi2: -2826.293866880069   ||  StdChi2: 0.0   ||  
GenNb-108   ||  MinChi2: -2741.8552367668517   ||  MeanChi2: -2741.8552367668517   ||  StdChi2: 0.0   ||  
GenNb-109   ||  MinChi2: -2741.8552367668517   ||  MeanChi2: -2741.8552367668517   ||  StdChi2: 0.0   ||  
GenNb-110   ||  MinChi2: -2741.8552367668517   ||  MeanChi2: -2741.8552367668517   ||  StdChi2: 0.0   ||  
GenNb-111   ||  MinChi2: -2741.8552367668517   ||  MeanChi2: -2741.8552367668517   ||  StdChi2: 0.0   ||  
GenNb-112   ||  MinChi2: -2653.491302426883   ||  MeanChi2: -2653.491302426883   ||  StdChi2: 0.0   ||  
GenNb-113   ||  MinChi2: -2607.302731745615   ||  MeanChi2: -2607.302731745615   ||  StdChi2: 0.0   ||  
GenNb-114   ||  MinChi2: -2600.754612275551   ||  MeanChi2: -2600.754612275551   ||  StdChi2: 0.0   ||  
GenNb-115   ||  MinChi2: -2600.754612275551   ||  MeanChi2: -2600.754612275551   ||  StdChi2: 0.0   ||  
GenNb-116   ||  MinChi2: -2516.166834743945   ||  MeanChi2: -2516.166834743945   ||  StdChi2: 0.0   ||  
GenNb-117   ||  MinChi2: -2313.990358210505   ||  MeanChi2: -2313.990358210505   ||  StdChi2: 0.0   ||  
GenNb-118   ||  MinChi2: -2313.990358210505   ||  MeanChi2: -2313.990358210505   ||  StdChi2: 0.0   ||  
GenNb-119   ||  MinChi2: -2250.41298205355   ||  MeanChi2: -2250.41298205355   ||  StdChi2: 0.0   ||  
GenNb-120   ||  MinChi2: -2187.03252488287   ||  MeanChi2: -2187.03252488287   ||  StdChi2: 0.0   ||  
GenNb-121   ||  MinChi2: -2187.03252488287   ||  MeanChi2: -2187.03252488287   ||  StdChi2: 0.0   ||  
GenNb-122   ||  MinChi2: -2187.03252488287   ||  MeanChi2: -2187.03252488287   ||  StdChi2: 0.0   ||  
