GenNb-1   ||  MinChi2: 27390.830636874452   ||  MeanChi2: 63951.51125418039   ||  StdChi2: 29796.79640335668   ||  
GenNb-2   ||  MinChi2: 27390.830636874452   ||  MeanChi2: 61301.912976767155   ||  StdChi2: 30455.41857158578   ||  
GenNb-3   ||  MinChi2: 27390.830636874452   ||  MeanChi2: 58975.12838073615   ||  StdChi2: 29816.201245415934   ||  
GenNb-4   ||  MinChi2: 26190.198574825998   ||  MeanChi2: 50673.15487797588   ||  StdChi2: 31642.494100099044   ||  
GenNb-1   ||  MinChi2: 29049.962275062146   ||  MeanChi2: 59829.604331367846   ||  StdChi2: 23001.14902760283   ||  
GenNb-2   ||  MinChi2: 29049.962275062146   ||  MeanChi2: 58456.94231915294   ||  StdChi2: 22624.16689808898   ||  
GenNb-1   ||  MinChi2: 18176.840774917542   ||  MeanChi2: 80061.9931205533   ||  StdChi2: 43612.50686203355   ||  
GenNb-2   ||  MinChi2: 8876.956719439386   ||  MeanChi2: 65881.8544326213   ||  StdChi2: 48254.037420221386   ||  
GenNb-3   ||  MinChi2: 1818.981312030155   ||  MeanChi2: 53650.36013720486   ||  StdChi2: 31898.4792270596   ||  
GenNb-4   ||  MinChi2: 1818.981312030155   ||  MeanChi2: 49776.29561519348   ||  StdChi2: 35771.384441309034   ||  
GenNb-1   ||  MinChi2: 18164.38795267015   ||  MeanChi2: 72010.04655292438   ||  StdChi2: 46263.08296653675   ||  
GenNb-2   ||  MinChi2: 14246.91664363215   ||  MeanChi2: 65668.00013792288   ||  StdChi2: 43948.35941861159   ||  
GenNb-3   ||  MinChi2: 14246.91664363215   ||  MeanChi2: 43679.515558358384   ||  StdChi2: 18468.44226520659   ||  
GenNb-4   ||  MinChi2: 14246.91664363215   ||  MeanChi2: 37354.7494278993   ||  StdChi2: 15657.382656404958   ||  
GenNb-5   ||  MinChi2: 14246.91664363215   ||  MeanChi2: 29857.27122911321   ||  StdChi2: 9601.729491065433   ||  
GenNb-6   ||  MinChi2: 14145.89785722002   ||  MeanChi2: 27546.432006372175   ||  StdChi2: 11281.77913113609   ||  
GenNb-7   ||  MinChi2: 6157.167099684233   ||  MeanChi2: 25658.993181883874   ||  StdChi2: 12438.038317451725   ||  
